房产名称,位置,成交日期,户型,价格(HKD),面积(呎),单价,特色
海栢花園 3座 低層 F室,N/A,N/A,3房,"$21,500",567 呎,$38,N/A
海典灣 第二座 高層 A室,N/A,N/A,3房,"$23,000",657 呎,$35,N/A
港島南岸 揚海 2B座 高層 E室,N/A,N/A,2房,"$31,500",553 呎,$57,露台 | | 工作平台
置富花園 H-1座 (富麗苑) 高層 D室,N/A,N/A,2房,$488 萬,439 呎,"$11,116",N/A
港島南岸 晉環 2A座 低層 F室,N/A,N/A,3房,"$35,000",728 呎,$48,露台 | | 工作平台
匯璽 2A期 2B座 中層 K室,N/A,N/A,2房,"$27,000",441 呎,$61,露台 | | 工作平台
One Innovale Archway 第1期 B座 中層 7室,N/A,N/A,開放式,"$9,500",223 呎,$43,露台
太古城 海天花園 南天閣 高層 B室,N/A,N/A,3房,$908 萬,604 呎,"$15,033",N/A
藍澄灣 6座 高層 G室,N/A,N/A,2房,"$15,000",485 呎,$31,N/A
囍滙 第二期 3座 低層 H室,N/A,N/A,1房,"$24,500",446 呎,$55,露台 | | 工作平台
日出康城 領都 - 領峯 6座 L 低層 C室,N/A,N/A,4房,$950 萬,985 呎,"$9,645",露台 | | 工作平台
半島豪庭 1座 高層 G室,N/A,N/A,2房,$860 萬,653 呎,"$13,170",N/A
何文田山畔 1座 低層 D室,N/A,N/A,1房,"$18,500",372 呎,$50,露台
沙田第一城 2期 22座 高層 E室,N/A,N/A,3房,"$19,500",504 呎,$39,N/A
帝峯．皇殿 3座 高層 B室,N/A,N/A,5房,"$50,000","1,118 呎",$45,露台 | | 工作平台
囍滙 第二期 1座 高層 H室,N/A,N/A,1房,"$27,000",455 呎,$59,露台 | | 工作平台
海怡半島 3期 23A座 低層 A室,N/A,N/A,2房,$713 萬,584 呎,"$12,205",N/A
凱旋門 2座 (觀星閣) 高層 A室,N/A,N/A,4房,"$88,000","1,382 呎",$64,車位 | | 露台
粉嶺名都 4座 高層 H室,N/A,N/A,2房,"$12,000",376 呎,$32,N/A
海翩滙 1座 低層 E室,N/A,N/A,2房,"$21,800",478 呎,$46,N/A
尚悦 2座 低層 C室,N/A,N/A,3房,"$16,000",660 呎,$24,露台 | | 工作平台
比華利山別墅 溫莎道 三門仔路23號〈獨立屋〉,N/A,N/A,4房,"$38,000","1,606 呎",$24,車位
柏傲莊 柏傲莊 II 5A座 高層 B室,N/A,N/A,2房,"$31,000",634 呎,$49,露台 | | 工作平台
嘉亨灣 1座 高層 F室,N/A,N/A,2房,"$26,000",499 呎,$52,N/A
匯賢居 中層 B室,N/A,N/A,-,"$1,070 萬",579 呎,"$18,480",露台
擎天半島 1期 3座 高層 B室,N/A,N/A,2房,"$35,000",633 呎,$55,N/A
太古城 高山台 富山閣 低層 B室,N/A,N/A,3房,"$25,500",684 呎,$37,N/A
永昌樓 A室,N/A,N/A,-,"$9,800",469 呎,$21,平台
泓景臺 一期 3座 中層 A室,N/A,N/A,2房,$702 萬,502 呎,"$13,984",N/A
花都廣場 07座 高層 A室,N/A,N/A,2房,"$12,000",392 呎,$31,N/A
星河明居 E座 高層 3室,N/A,N/A,3房,"$22,300",517 呎,$43,N/A
灝景灣 3期 09座 中層 B室,N/A,N/A,2房,"$21,000",499 呎,$42,N/A
傲雲峰 第一座 高層 A室,N/A,N/A,2房,"$19,300",479 呎,$40,露台
帝景灣 6座 低層 C室,N/A,N/A,2房,"$24,500",596 呎,$41,露台 | | 工作平台
美孚新邨 四期 百老匯街111號 低層 C室,N/A,N/A,2房,"$18,800",510 呎,$37,N/A
匯璽 5期(匯璽III) 6座 高層 J室,N/A,N/A,1房,"$23,000",371 呎,$62,露台
錦繡花園 河北第八街 河北 8 街〈獨立屋〉,N/A,N/A,3房,"$25,500",962 呎,$27,N/A
